customer_id,lifetime_spend,order_frequency,segment
CUST000139,98916.65,5,VIP
CUST000140,52682.71,4,VIP
CUST000141,84372.66,2,VIP
CUST000142,42177.81,1,VIP
CUST000143,134622.08,6,VIP
CUST000144,70405.61,2,VIP
CUST000145,31835.14,1,VIP
CUST000146,108073.0,3,VIP
CUST000147,135049.47,6,VIP
CUST000148,145797.33,5,VIP
CUST000149,125101.09,4,VIP
CUST000150,83907.13,3,VIP
CUST000152,188317.07,7,VIP
CUST000153,162247.96,8,VIP
CUST000154,119881.76,8,VIP
CUST000155,91764.55,5,VIP
CUST000156,24293.829999999998,2,VIP
CUST000157,85492.92,4,VIP
CUST000158,205720.49,9,VIP
CUST000159,144524.63,4,VIP
CUST000160,185456.04,5,VIP
CUST000161,158683.38,5,VIP
CUST000162,136130.82,5,VIP
CUST000163,24943.010000000002,2,VIP
CUST000164,81475.56000000001,3,VIP
CUST000165,35425.03,1,VIP
CUST000166,25556.15,2,VIP
CUST000167,137429.19,4,VIP
CUST000168,146800.63,6,VIP
CUST000169,37942.24,2,VIP
CUST000170,182017.16,8,VIP
CUST000171,82451.46,4,VIP
CUST000172,159964.02,6,VIP
CUST000173,132995.44,5,VIP
CUST000174,40488.83,1,VIP
CUST000175,83445.43,4,VIP
CUST000176,90437.85,4,VIP
CUST000177,141511.72,7,VIP
CUST000178,146262.64,5,VIP
CUST000179,85101.44,4,VIP
CUST000180,59123.380000000005,2,VIP
CUST000181,45741.509999999995,2,VIP
CUST000182,48960.41,4,VIP
CUST000183,263487.23000000004,10,VIP
CUST000184,167447.85,6,VIP
CUST000185,171660.00999999998,8,VIP
CUST000186,138900.06,8,VIP
CUST000187,45587.31,2,VIP
CUST000188,187050.54,6,VIP
CUST000189,58292.67,2,VIP
CUST000190,24586.54,1,VIP
CUST000191,132920.84,4,VIP
CUST000192,29445.940000000002,3,VIP
CUST000193,106829.40000000001,6,VIP
CUST000194,125470.16,6,VIP
CUST000195,182695.47999999998,8,VIP
CUST000196,98690.94,4,VIP
CUST000197,24979.01,1,VIP
CUST000198,145293.97,5,VIP
CUST000199,101702.64,3,VIP
CUST000200,55746.810000000005,2,VIP
CUST000201,179998.86,7,VIP
CUST000202,117069.54000000001,5,VIP
CUST000203,73573.84,3,VIP
CUST000204,35772.74,1,VIP
CUST000205,4993.1,1,High Value
CUST000206,178067.26,5,VIP
CUST000207,64392.22,2,VIP
CUST000208,193843.08000000002,6,VIP
CUST000209,113484.38,4,VIP
CUST000210,181719.53,5,VIP
CUST000211,69299.55,4,VIP
CUST000212,358147.91000000003,11,VIP
CUST000213,88163.08,5,VIP
CUST000214,137868.31,9,VIP
CUST000215,124822.65,6,VIP
CUST000216,139971.97999999998,6,VIP
CUST000217,63399.93,3,VIP
CUST000218,27666.579999999998,2,VIP
CUST000219,188865.47999999998,8,VIP
CUST000220,173875.43,5,VIP
CUST000221,68477.32,4,VIP
CUST000222,75462.47,3,VIP
CUST000223,57355.35,3,VIP
CUST000224,252383.52000000002,9,VIP
CUST000225,37057.21,2,VIP
CUST000227,40459.12,1,VIP
CUST000228,86885.88,3,VIP
CUST000229,12945.47,1,VIP
CUST000230,43615.13,1,VIP
CUST000231,52204.59,4,VIP
CUST000232,240153.64,8,VIP
CUST000234,118044.81,5,VIP
CUST000235,110467.06000000001,4,VIP
CUST000236,66473.81,2,VIP
CUST000237,144045.25,5,VIP
CUST000238,107283.23,4,VIP
CUST000239,92250.73,5,VIP
CUST000240,147940.49,5,VIP
CUST000241,32064.28,2,VIP
CUST000242,26237.87,2,VIP
CUST000243,97807.36,4,VIP
CUST000244,101859.95,4,VIP
CUST000245,123247.67,5,VIP
CUST000246,120220.75,7,VIP
CUST000247,200705.5,7,VIP
CUST000248,37214.14,3,VIP
CUST000249,68925.95,4,VIP
CUST000250,192865.07,8,VIP
CUST000251,59760.93,2,VIP
CUST000252,205679.35,7,VIP
CUST000253,29971.4,2,VIP
CUST000254,108309.89,4,VIP
CUST000255,78225.18,4,VIP
CUST000256,142699.37,5,VIP
CUST000257,113418.51000000001,5,VIP
CUST000258,30030.6,2,VIP
CUST000259,9743.54,1,VIP
CUST000260,89895.73,4,VIP
CUST000261,108000.18,5,VIP
CUST000262,49740.19,2,VIP
CUST000263,195537.58,6,VIP
CUST000264,72582.2,2,VIP
CUST000265,85155.54000000001,3,VIP
CUST000266,59589.03,2,VIP
CUST000267,26050.49,1,VIP
CUST000268,104570.84,4,VIP
CUST000269,104505.6,4,VIP
CUST000270,102018.97,3,VIP
CUST000271,143367.08,4,VIP
CUST000272,91106.65,4,VIP
CUST000273,70642.97,4,VIP
CUST000274,60079.57,4,VIP
CUST000275,67411.75,5,VIP
CUST000276,8373.27,1,VIP
CUST000277,132069.07,4,VIP
CUST000278,188296.22999999998,6,VIP
CUST000279,86277.06,3,VIP
CUST000280,255364.45,8,VIP
CUST000281,42969.350000000006,2,VIP
CUST000282,91204.5,3,VIP
CUST000283,81518.16999999998,3,VIP
CUST000284,67778.92,4,VIP
CUST000285,68463.13,5,VIP
CUST000286,87586.81,3,VIP
CUST000287,225917.37,9,VIP
CUST000288,49861.74,1,VIP
CUST000289,124871.6,6,VIP
CUST000290,53229.35,3,VIP
CUST000291,56242.67,3,VIP
CUST000292,83094.57,3,VIP
CUST000293,47254.0,3,VIP
CUST000294,86775.86,4,VIP
CUST000295,72650.01,4,VIP
CUST000296,189701.94,7,VIP
CUST000297,60704.93,3,VIP
CUST000298,44122.42,2,VIP
CUST000299,212645.86,8,VIP
CUST000300,17955.36,2,VIP
CUST000301,54192.49,3,VIP
CUST000302,159317.89,6,VIP
CUST000303,54423.45,3,VIP
CUST000304,102874.36,5,VIP
CUST000305,91204.29000000001,3,VIP
CUST000306,7957.75,1,VIP
CUST000307,80079.74,4,VIP
CUST000308,299974.85,10,VIP
CUST000309,68152.72,2,VIP
CUST000310,78626.28,3,VIP
CUST000311,4511.39,2,High Value
CUST000313,194688.27,6,VIP
CUST000314,112207.99,3,VIP
CUST000315,42446.22,1,VIP
CUST000316,168637.99,7,VIP
CUST000317,127141.45,4,VIP
CUST000318,116858.64,4,VIP
CUST000319,8616.83,1,VIP
CUST000320,71870.13,2,VIP
CUST000321,43290.49,2,VIP
CUST000322,186894.61,6,VIP
CUST000323,89075.52,4,VIP
CUST000325,78392.52,3,VIP
CUST000326,142078.01,6,VIP
CUST000327,58502.11,3,VIP
CUST000328,138894.92,5,VIP
CUST000329,177550.46,7,VIP
CUST000330,122575.17,5,VIP
CUST000331,82518.70999999999,3,VIP
CUST000332,9221.25,1,VIP
CUST000333,135934.85,7,VIP
CUST000334,25608.91,2,VIP
CUST000335,202889.93,7,VIP
CUST000336,153678.57,8,VIP
CUST000337,48448.3,2,VIP
CUST000338,182156.31,6,VIP
CUST000339,44991.24,1,VIP
CUST000340,62474.649999999994,2,VIP
CUST000341,91009.76999999999,4,VIP
CUST000342,88048.44,4,VIP
CUST000343,130989.54999999999,5,VIP
CUST000344,198553.76,8,VIP
CUST000345,162032.8,6,VIP
CUST000346,269.64,1,Low Value
CUST000347,146053.85,6,VIP
CUST000348,119156.28,4,VIP
CUST000349,131219.08000000002,7,VIP
CUST000350,127029.82,4,VIP
CUST000351,14595.23,1,VIP
CUST000352,191938.05,7,VIP
CUST000353,23741.670000000002,2,VIP
CUST000354,111270.15000000001,4,VIP
CUST000355,83626.45000000001,3,VIP
CUST000356,30685.54,3,VIP
CUST000357,65122.07,2,VIP
CUST000358,212060.22,8,VIP
CUST000359,152214.57,4,VIP
CUST000360,46821.47,3,VIP
CUST000361,34870.95,1,VIP
CUST000362,97131.06,3,VIP
CUST000363,186885.73,9,VIP
CUST000364,140237.42,4,VIP
CUST000365,62256.36,2,VIP
CUST000366,89875.79999999999,5,VIP
CUST000367,82333.09,5,VIP
CUST000368,98668.65,4,VIP
CUST000369,73155.28,4,VIP
CUST000370,175651.72,5,VIP
CUST000371,48559.560000000005,2,VIP
CUST000372,136851.76,4,VIP
CUST000373,35326.4,2,VIP
CUST000374,66543.7,2,VIP
CUST000375,78930.72,3,VIP
CUST000376,41127.18,2,VIP
CUST000377,124941.05,5,VIP
CUST000378,63860.53,3,VIP
CUST000379,71197.65,2,VIP
CUST000380,183882.64,5,VIP
CUST000381,146752.36,5,VIP
CUST000382,204719.04,7,VIP
CUST000383,208199.72,7,VIP
CUST000384,79268.59999999999,3,VIP
CUST000386,98622.61,3,VIP
CUST000387,91958.20999999999,4,VIP
CUST000389,114055.32,4,VIP
CUST000390,54744.399999999994,2,VIP
CUST000391,286763.04,9,VIP
CUST000392,102203.48000000001,4,VIP
CUST000393,109133.67,6,VIP
CUST000394,60131.55,4,VIP
CUST000395,148676.76,4,VIP
CUST000396,151944.03,5,VIP
CUST000398,104980.01000000001,5,VIP
CUST000399,213135.18,7,VIP
CUST000400,58423.24,3,VIP
CUST000401,112492.43,5,VIP
CUST000402,21397.14,3,VIP
CUST000403,100094.23,4,VIP
CUST000404,53153.770000000004,2,VIP
CUST000405,80608.59,3,VIP
CUST000406,132883.85,6,VIP
CUST000407,200814.83000000002,6,VIP
CUST000408,99326.66,6,VIP
CUST000409,41189.869999999995,4,VIP
CUST000410,49649.89,2,VIP
CUST000411,107080.56,4,VIP
CUST000412,62850.93,3,VIP
CUST000414,49500.990000000005,3,VIP
CUST000415,136042.11,5,VIP
CUST000416,148923.87,4,VIP
CUST000417,73004.41,3,VIP
CUST000418,120277.01000000001,5,VIP
CUST000419,131102.02,5,VIP
CUST000420,76919.9,5,VIP
CUST000421,152112.53,5,VIP
CUST000422,169655.38999999998,4,VIP
CUST000423,108424.90000000001,4,VIP
CUST000424,157321.12,6,VIP
CUST000425,97443.65,3,VIP
CUST000426,18678.35,1,VIP
CUST000427,130251.56,4,VIP
CUST000428,35421.11,1,VIP
CUST000429,90190.76000000001,7,VIP
CUST000430,64120.29,4,VIP
CUST000431,86796.73,3,VIP
CUST000432,99328.11,6,VIP
CUST000433,163028.07,7,VIP
CUST000434,70462.81,2,VIP
CUST000435,133791.97,6,VIP
CUST000436,44657.10999999999,3,VIP
CUST000437,111664.82,4,VIP
CUST000438,177120.88,9,VIP
CUST000439,44776.149999999994,4,VIP
CUST000440,65454.48,4,VIP
CUST000441,78186.45,5,VIP
CUST000442,147272.91999999998,5,VIP
CUST000443,34799.28,2,VIP
CUST000444,139121.88,5,VIP
CUST000445,107822.12000000001,3,VIP
CUST000446,64010.39,5,VIP
CUST000447,98016.18,6,VIP
CUST000448,114867.45,6,VIP
CUST000449,83730.68,2,VIP
CUST000450,135255.31,5,VIP
CUST000451,27367.28,2,VIP
CUST000452,112600.73,4,VIP
CUST000453,62661.34,3,VIP
CUST000454,69524.76999999999,2,VIP
CUST000455,88373.89,4,VIP
CUST000456,69106.11,2,VIP
CUST000457,99103.56,3,VIP
CUST000458,93541.54,5,VIP
CUST000459,63315.84,2,VIP
CUST000460,65471.36,3,VIP
CUST000461,111928.51,4,VIP
CUST000462,101673.73999999999,4,VIP
CUST000463,24844.949999999997,2,VIP
CUST000464,106926.31,4,VIP
CUST000465,47405.28,2,VIP
CUST000466,32476.28,2,VIP
CUST000467,15543.09,1,VIP
CUST000468,79773.83,4,VIP
CUST000469,100111.77,3,VIP
CUST000470,81453.53,7,VIP
CUST000471,88541.1,4,VIP
CUST000472,89983.14,2,VIP
CUST000473,220526.75,7,VIP
CUST000475,174447.76,8,VIP
CUST000476,76700.64,2,VIP
CUST000477,127344.64,4,VIP
CUST000478,115135.97,4,VIP
CUST000479,62913.69,2,VIP
CUST000480,29066.52,1,VIP
CUST000481,89965.79,4,VIP
CUST000482,42710.67,2,VIP
CUST000483,32541.12,2,VIP
CUST000484,54176.75,4,VIP
CUST000485,98593.49,3,VIP
CUST000486,46187.71,2,VIP
CUST000487,219595.5,7,VIP
CUST000488,173109.73,6,VIP
CUST000489,7439.57,2,VIP
CUST000490,109481.53,4,VIP
CUST000491,171590.1,6,VIP
CUST000492,52832.119999999995,3,VIP
CUST000494,99832.57,5,VIP
CUST000495,111019.53,5,VIP
CUST000496,49297.79,1,VIP
CUST000497,74386.08,3,VIP
CUST000498,87840.19,2,VIP
CUST000499,192404.53,6,VIP
CUST000500,93456.37,4,VIP
CUST000501,205773.88,6,VIP
CUST000502,169714.41,6,VIP
CUST000503,42056.25,1,VIP
CUST000504,124696.65999999999,6,VIP
CUST000505,89679.2,2,VIP
CUST000506,193080.13,9,VIP
CUST000507,216629.89,8,VIP
CUST000508,74338.79000000001,3,VIP
CUST000509,22093.12,1,VIP
CUST000510,105886.56,4,VIP
CUST000511,152001.72,4,VIP
CUST000512,99441.70999999999,4,VIP
CUST000513,166797.7,5,VIP
CUST000514,36048.5,1,VIP
CUST000515,174885.35,6,VIP
CUST000516,121068.53,5,VIP
CUST000517,125463.03,4,VIP
CUST000518,115495.32,4,VIP
CUST000519,196705.5,6,VIP
CUST000520,62705.119999999995,5,VIP
CUST000521,153439.12,5,VIP
CUST000522,92875.1,4,VIP
CUST000523,30624.370000000003,3,VIP
CUST000524,117768.56,5,VIP
CUST000525,74289.56999999999,3,VIP
CUST000526,163699.4,5,VIP
CUST000527,97868.56,2,VIP
CUST000528,119501.78,3,VIP
CUST000529,48004.41,1,VIP
CUST000530,52276.549999999996,2,VIP
CUST000531,79532.53,6,VIP
CUST000532,99735.5,5,VIP
CUST000533,177608.21,10,VIP
CUST000534,40992.03,1,VIP
CUST000535,160387.6,5,VIP
CUST000536,171200.25,6,VIP
CUST000537,126782.63,5,VIP
CUST000538,397355.52,13,VIP
CUST000539,250402.36,9,VIP
CUST000540,24251.809999999998,2,VIP
CUST000541,204052.22,8,VIP
CUST000542,49821.76,4,VIP
CUST000543,137231.14,6,VIP
CUST000544,113826.22,3,VIP
CUST000545,70554.59,3,VIP
CUST000546,3184.13,1,High Value
CUST000547,76997.94,2,VIP
CUST000548,151248.92,7,VIP
CUST000550,88268.97,6,VIP
CUST000551,107590.16,5,VIP
CUST000552,59435.76,3,VIP
CUST000553,44403.37,1,VIP
CUST000554,53534.21,5,VIP
CUST000555,115900.94,6,VIP
CUST000556,2035.38,1,High Value
CUST000557,11351.5,1,VIP
CUST000558,122211.34,5,VIP
CUST000559,137411.04,4,VIP
CUST000560,190029.52,7,VIP
CUST000561,178484.05000000002,7,VIP
CUST000562,196958.84999999998,7,VIP
CUST000563,67517.85,3,VIP
CUST000564,102611.05,4,VIP
CUST000565,133189.87,5,VIP
CUST000566,77272.05,4,VIP
CUST000567,81939.97,3,VIP
CUST000568,61400.02,4,VIP
CUST000569,74522.09,3,VIP
CUST000570,43873.28,2,VIP
CUST000571,55912.57,2,VIP
CUST000572,136461.37,5,VIP
CUST000573,64119.65,2,VIP
CUST000574,74477.26999999999,2,VIP
CUST000575,95684.23,5,VIP
CUST000576,268111.07,10,VIP
CUST000577,98863.24,3,VIP
CUST000578,228514.58000000002,8,VIP
CUST000579,240759.77000000002,6,VIP
CUST000580,155126.09,4,VIP
CUST000581,117143.44,5,VIP
CUST000582,88269.46,4,VIP
CUST000583,141580.81,6,VIP
CUST000584,234941.3,8,VIP
CUST000585,56844.729999999996,3,VIP
CUST000586,166385.03,5,VIP
CUST000587,39612.119999999995,2,VIP
CUST000588,155378.99,5,VIP
CUST000589,178453.94,6,VIP
CUST000590,133218.38999999998,5,VIP
CUST000591,91176.65999999999,3,VIP
CUST000592,20777.23,1,VIP
CUST000593,141287.83,5,VIP
CUST000594,100789.29000000001,4,VIP
CUST000595,47588.25,4,VIP
CUST000596,44238.32,2,VIP
CUST000597,98510.9,4,VIP
CUST000598,90921.42,4,VIP
CUST000599,83367.62,4,VIP
CUST000600,240755.53,7,VIP
CUST000601,75664.17,3,VIP
CUST000602,82098.71,3,VIP
CUST000603,81941.12,3,VIP
CUST000604,142047.58,4,VIP
CUST000605,25708.75,3,VIP
CUST000606,81162.59999999999,3,VIP
CUST000607,102692.72,5,VIP
CUST000608,147575.88,4,VIP
CUST000609,239228.84,8,VIP
CUST000610,135543.95,4,VIP
CUST000611,257504.57,7,VIP
CUST000612,54046.92999999999,3,VIP
CUST000613,136469.53,6,VIP
CUST000614,138272.03,5,VIP
CUST000615,43383.28,2,VIP
CUST000616,94463.33,6,VIP
CUST000617,61978.149999999994,2,VIP
CUST000618,53369.009999999995,3,VIP
CUST000619,88423.19,5,VIP
CUST000620,90142.88,4,VIP
CUST000621,30439.73,1,VIP
CUST000622,115785.9,6,VIP
CUST000623,78846.34,4,VIP
CUST000624,3158.09,1,High Value
CUST000625,55674.96,2,VIP
CUST000626,132897.45,4,VIP
CUST000628,64136.130000000005,2,VIP
CUST000629,71287.76000000001,3,VIP
CUST000630,73581.59,4,VIP
CUST000631,16616.94,2,VIP
CUST000632,70342.56,3,VIP
CUST000633,50451.53,2,VIP
CUST000634,86363.38,4,VIP
CUST000635,81666.59999999999,5,VIP
CUST000636,106798.98,5,VIP
CUST000637,95232.64,6,VIP
CUST000638,45497.26,1,VIP
CUST000639,24961.99,1,VIP
CUST000640,70674.23000000001,3,VIP
CUST000641,56917.770000000004,2,VIP
CUST000642,188934.4,7,VIP
CUST000643,100455.45999999999,4,VIP
CUST000644,104814.64000000001,6,VIP
CUST000645,86932.82,3,VIP
CUST000646,92556.07,3,VIP
CUST000647,86161.2,4,VIP
CUST000648,106257.82999999999,3,VIP
CUST000649,90426.83,4,VIP
CUST000650,73029.48,2,VIP
CUST000651,91110.02,3,VIP
CUST000652,152232.38,5,VIP
CUST000653,118482.46,3,VIP
CUST000654,110053.29999999999,4,VIP
CUST000655,130869.13,6,VIP
CUST000656,246588.06,7,VIP
CUST000657,97197.43,3,VIP
CUST000658,186575.07,6,VIP
CUST000659,212060.21,7,VIP
CUST000660,120272.14,7,VIP
CUST000661,140501.08,5,VIP
CUST000662,139708.77,6,VIP
CUST000663,79296.6,4,VIP
CUST000664,36519.37,1,VIP
CUST000665,85623.85,4,VIP
CUST000666,40305.65,2,VIP
CUST000667,162788.44,8,VIP
CUST000668,119371.79000000001,4,VIP
CUST000669,50790.61,4,VIP
CUST000670,73011.94,3,VIP
CUST000671,68214.23999999999,4,VIP
CUST000672,134470.21,5,VIP
CUST000673,71599.44,2,VIP
CUST000674,57295.92,2,VIP
CUST000675,84350.1,4,VIP
CUST000676,100210.62999999999,7,VIP
CUST000677,91393.41,5,VIP
CUST000678,88951.33,3,VIP
CUST000679,225695.11000000002,6,VIP
CUST000680,65757.0,3,VIP
CUST000681,69597.51,3,VIP
CUST000682,161279.83000000002,4,VIP
CUST000683,246811.29,7,VIP
CUST000684,101389.93,5,VIP
CUST000685,138142.47,4,VIP
CUST000686,76991.07,3,VIP
CUST000687,145257.11,5,VIP
CUST000688,232132.55,7,VIP
CUST000689,95959.18,4,VIP
CUST000690,48452.770000000004,3,VIP
CUST000691,69459.95,3,VIP
CUST000692,81532.34,3,VIP
CUST000693,38537.68,2,VIP
CUST000694,81151.94,3,VIP
CUST000695,43778.450000000004,3,VIP
CUST000696,187231.83000000002,6,VIP
CUST000697,50838.78,3,VIP
CUST000698,63160.630000000005,2,VIP
CUST000699,61870.28,2,VIP
CUST000700,89393.65,3,VIP
CUST000701,215247.27000000002,8,VIP
CUST000702,189298.5,8,VIP
CUST000703,81996.56,3,VIP
CUST000704,107920.11,4,VIP
CUST000705,52980.6,3,VIP
CUST000706,77021.1,4,VIP
CUST000707,61887.170000000006,3,VIP
CUST000708,213285.91,7,VIP
CUST000709,259220.66,8,VIP
CUST000710,148504.85,4,VIP
CUST000711,207541.61,6,VIP
CUST000712,42343.79,1,VIP
CUST000713,2232.74,1,High Value
CUST000714,152577.76,6,VIP
CUST000715,200449.13,9,VIP
CUST000716,117530.31,4,VIP
CUST000717,39792.9,3,VIP
CUST000718,136483.15000000002,5,VIP
CUST000719,68297.48,3,VIP
CUST000720,56650.55,4,VIP
CUST000721,90863.37,3,VIP
CUST000722,175344.03,5,VIP
CUST000723,127672.34,3,VIP
CUST000724,41702.94,4,VIP
CUST000725,137351.76,7,VIP
CUST000726,47172.08,2,VIP
CUST000727,116596.31,5,VIP
CUST000728,198269.05,7,VIP
CUST000729,130196.54999999999,6,VIP
CUST000730,55264.12,5,VIP
CUST000731,49028.68,2,VIP
CUST000732,9758.07,1,VIP
CUST000733,58310.53,2,VIP
CUST000734,186956.63,6,VIP
CUST000735,155415.22999999998,7,VIP
CUST000736,70006.06,3,VIP
CUST000737,100697.1,3,VIP
CUST000738,72372.36,3,VIP
CUST000739,66688.16,4,VIP
CUST000740,112978.02,6,VIP
CUST000741,27081.53,5,VIP
CUST000742,72177.86,3,VIP
CUST000743,97257.15000000001,4,VIP
CUST000744,43870.62,3,VIP
CUST000745,125227.54999999999,4,VIP
CUST000746,165420.76,5,VIP
CUST000747,155365.83000000002,5,VIP
CUST000748,117423.98000000001,3,VIP
CUST000749,79934.25,3,VIP
CUST000750,217991.77000000002,8,VIP
CUST000751,174703.38,6,VIP
CUST000752,145408.59,5,VIP
CUST000753,38956.44,3,VIP
CUST000754,136568.18,3,VIP
CUST000755,72060.1,2,VIP
CUST000756,173728.13,4,VIP
CUST000757,42180.63,3,VIP
CUST000758,6352.39,1,VIP
CUST000760,144068.46000000002,4,VIP
CUST000761,105314.9,4,VIP
CUST000762,133839.48,7,VIP
CUST000763,123509.5,6,VIP
CUST000764,117165.2,5,VIP
CUST000765,77375.26999999999,3,VIP
CUST000766,197121.77000000002,5,VIP
CUST000767,146777.86,5,VIP
CUST000768,33464.520000000004,2,VIP
CUST000769,64521.96000000001,3,VIP
CUST000770,21817.02,3,VIP
CUST000771,157578.67,5,VIP
CUST000772,122254.79000000001,6,VIP
CUST000773,123823.17,5,VIP
CUST000774,218548.53,8,VIP
CUST000775,45028.11,2,VIP
CUST000776,75383.43,2,VIP
CUST000777,215548.15,7,VIP
CUST000778,101147.91,3,VIP
CUST000779,216002.56,8,VIP
CUST000780,83522.51000000001,4,VIP
CUST000781,62056.17,2,VIP
CUST000782,60854.79,2,VIP
CUST000783,96225.68,5,VIP
CUST000784,70161.76999999999,3,VIP
CUST000785,84698.86,4,VIP
CUST000786,111675.48,7,VIP
CUST000787,63729.85,2,VIP
CUST000788,175370.09,6,VIP
CUST000789,103266.89,3,VIP
CUST000790,68679.23999999999,3,VIP
CUST000791,94306.26,5,VIP
CUST000792,42885.18,1,VIP
CUST000793,121020.39,4,VIP
CUST000794,105622.09,4,VIP
CUST000795,128264.88,3,VIP
CUST000796,152747.86000000002,8,VIP
CUST000797,40927.58,1,VIP
CUST000798,108198.39,3,VIP
CUST000799,103271.01,4,VIP
CUST000800,68203.35,3,VIP
CUST000801,36872.88,2,VIP
CUST000802,86146.94,5,VIP
CUST000803,144081.53,4,VIP
CUST000804,90667.19,3,VIP
CUST000805,186826.63,6,VIP
CUST000806,145035.78999999998,5,VIP
CUST000807,26975.63,1,VIP
CUST000808,170567.85,7,VIP
CUST000809,86878.32,3,VIP
